Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
NA	1	269093	270187	-	ompK36_D135D	outer membrane porin OmpK36 [WILDTYPE]	core	AMR	POINT	BETA-LACTAM	CARBAPENEM	POINTX	365	367	100.00	95.38	368	WP_002913005.1	outer membrane porin OmpK36	NA	NA
NA	1	269093	270187	-	ompK36_E308ER	outer membrane porin OmpK36 [UNKNOWN]	core	AMR	POINT	NA	NA	POINTX	365	367	100.00	95.38	368	WP_002913005.1	outer membrane porin OmpK36	NA	NA
NA	1	269093	270187	-	ompK36_E78E	outer membrane porin OmpK36 [WILDTYPE]	core	AMR	POINT	BETA-LACTAM	CARBAPENEM	POINTX	365	367	100.00	95.38	368	WP_002913005.1	outer membrane porin OmpK36	NA	NA
NA	1	269093	270187	-	ompK36_H349R	outer membrane porin OmpK36 [UNKNOWN]	core	AMR	POINT	NA	NA	POINTX	365	367	100.00	95.38	368	WP_002913005.1	outer membrane porin OmpK36	NA	NA
NA	1	269093	270187	-	ompK36_KL231VP	outer membrane porin OmpK36 [UNKNOWN]	core	AMR	POINT	NA	NA	POINTX	365	367	100.00	95.38	368	WP_002913005.1	outer membrane porin OmpK36	NA	NA
NA	1	269093	270187	-	ompK36_LGD225TDE	outer membrane porin OmpK36 [UNKNOWN]	core	AMR	POINT	NA	NA	POINTX	365	367	100.00	95.38	368	WP_002913005.1	outer membrane porin OmpK36	NA	NA
NA	1	269093	270187	-	ompK36_LSP184DEL	outer membrane porin OmpK36 [UNKNOWN]	core	AMR	POINT	NA	NA	POINTX	365	367	100.00	95.38	368	WP_002913005.1	outer membrane porin OmpK36	NA	NA
NA	1	269093	270187	-	ompK36_N221H	outer membrane porin OmpK36 [UNKNOWN]	core	AMR	POINT	NA	NA	POINTX	365	367	100.00	95.38	368	WP_002913005.1	outer membrane porin OmpK36	NA	NA
NA	1	269093	270187	-	ompK36_T126T	outer membrane porin OmpK36 [WILDTYPE]	core	AMR	POINT	BETA-LACTAM	CARBAPENEM	POINTX	365	367	100.00	95.38	368	WP_002913005.1	outer membrane porin OmpK36	NA	NA
NA	1	269093	270187	-	ompK36_T136T	outer membrane porin OmpK36 [WILDTYPE]	core	AMR	POINT	BETA-LACTAM	CARBAPENEM	POINTX	365	367	100.00	95.38	368	WP_002913005.1	outer membrane porin OmpK36	NA	NA
NA	1	269093	270187	-	ompK36_T258S	outer membrane porin OmpK36 [UNKNOWN]	core	AMR	POINT	NA	NA	POINTX	365	367	100.00	95.38	368	WP_002913005.1	outer membrane porin OmpK36	NA	NA
NA	1	269093	270187	-	ompK36_T261T	outer membrane porin OmpK36 [WILDTYPE]	core	AMR	POINT	BETA-LACTAM	CARBAPENEM	POINTX	365	367	100.00	95.38	368	WP_002913005.1	outer membrane porin OmpK36	NA	NA
NA	1	269093	270187	-	ompK36_T333T	outer membrane porin OmpK36 [WILDTYPE]	core	AMR	POINT	BETA-LACTAM	CARBAPENEM	POINTX	365	367	100.00	95.38	368	WP_002913005.1	outer membrane porin OmpK36	NA	NA
NA	1	269093	270187	-	ompK36_TAL192GWS	outer membrane porin OmpK36 [UNKNOWN]	core	AMR	POINT	NA	NA	POINTX	365	367	100.00	95.38	368	WP_002913005.1	outer membrane porin OmpK36	NA	NA
NA	1	269093	270187	-	ompK36_W125W	outer membrane porin OmpK36 [WILDTYPE]	core	AMR	POINT	BETA-LACTAM	CARBAPENEM	POINTX	365	367	100.00	95.38	368	WP_002913005.1	outer membrane porin OmpK36	NA	NA
NA	1	269093	270187	-	ompK36_Y201F	outer membrane porin OmpK36 [UNKNOWN]	core	AMR	POINT	NA	NA	POINTX	365	367	100.00	95.38	368	WP_002913005.1	outer membrane porin OmpK36	NA	NA
NA	1	269093	270187	-	ompK36_Y210W	outer membrane porin OmpK36 [UNKNOWN]	core	AMR	POINT	NA	NA	POINTX	365	367	100.00	95.38	368	WP_002913005.1	outer membrane porin OmpK36	NA	NA
NA	1	277303	279933	-	gyrA_D87D	DNA gyrase subunit A GyrA [WILDTYPE]	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	877	877	100.00	99.89	877	WP_117036963.1	DNA gyrase subunit A GyrA	NA	NA
NA	1	277303	279933	-	gyrA_F862I	DNA gyrase subunit A GyrA [UNKNOWN]	core	AMR	POINT	NA	NA	POINTX	877	877	100.00	99.89	877	WP_117036963.1	DNA gyrase subunit A GyrA	NA	NA
NA	1	277303	279933	-	gyrA_S83S	DNA gyrase subunit A GyrA [WILDTYPE]	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	877	877	100.00	99.89	877	WP_117036963.1	DNA gyrase subunit A GyrA	NA	NA
NA	1	650309	650785	-	oqxR_D95D	Rrf2 family transcriptional regulator OqxR [WILDTYPE]	core	AMR	POINT	TETRACYCLINE	TIGECYCLINE	EXACTX	159	159	100.00	100.00	159	WP_000888203.1	Rrf2 family transcriptional regulator OqxR	NA	NA
NA	1	650309	650785	-	oqxR_F6F	Rrf2 family transcriptional regulator OqxR [WILDTYPE]	core	AMR	POINT	TETRACYCLINE	TIGECYCLINE	EXACTX	159	159	100.00	100.00	159	WP_000888203.1	Rrf2 family transcriptional regulator OqxR	NA	NA
NA	1	650309	650785	-	oqxR_Q11Q	Rrf2 family transcriptional regulator OqxR [WILDTYPE]	core	AMR	POINT	TETRACYCLINE	TIGECYCLINE	EXACTX	159	159	100.00	100.00	159	WP_000888203.1	Rrf2 family transcriptional regulator OqxR	NA	NA
NA	1	650309	650785	-	oqxR_V102V	Rrf2 family transcriptional regulator OqxR [WILDTYPE]	core	AMR	POINT	TETRACYCLINE	TIGECYCLINE	EXACTX	159	159	100.00	100.00	159	WP_000888203.1	Rrf2 family transcriptional regulator OqxR	NA	NA
NA	1	650309	650785	-	oqxR_V113V	Rrf2 family transcriptional regulator OqxR [WILDTYPE]	core	AMR	POINT	TETRACYCLINE	TIGECYCLINE	EXACTX	159	159	100.00	100.00	159	WP_000888203.1	Rrf2 family transcriptional regulator OqxR	NA	NA
NA	11	83253	83393	-	mgrB_A14A	PhoP/PhoQ regulator MgrB [WILDTYPE]	core	AMR	POINT	COLISTIN	COLISTIN	EXACTX	47	47	100.00	100.00	47	WP_002911375.1	PhoP/PhoQ regulator MgrB	NA	NA
NA	11	83253	83393	-	mgrB_C28C	PhoP/PhoQ regulator MgrB [WILDTYPE]	core	AMR	POINT	COLISTIN	COLISTIN	EXACTX	47	47	100.00	100.00	47	WP_002911375.1	PhoP/PhoQ regulator MgrB	NA	NA
NA	11	83253	83393	-	mgrB_C39C	PhoP/PhoQ regulator MgrB [WILDTYPE]	core	AMR	POINT	COLISTIN	COLISTIN	EXACTX	47	47	100.00	100.00	47	WP_002911375.1	PhoP/PhoQ regulator MgrB	NA	NA
NA	11	83253	83393	-	mgrB_D31D	PhoP/PhoQ regulator MgrB [WILDTYPE]	core	AMR	POINT	COLISTIN	COLISTIN	EXACTX	47	47	100.00	100.00	47	WP_002911375.1	PhoP/PhoQ regulator MgrB	NA	NA
NA	11	83253	83393	-	mgrB_F35F	PhoP/PhoQ regulator MgrB [WILDTYPE]	core	AMR	POINT	COLISTIN	COLISTIN	EXACTX	47	47	100.00	100.00	47	WP_002911375.1	PhoP/PhoQ regulator MgrB	NA	NA
NA	11	83253	83393	-	mgrB_G37G	PhoP/PhoQ regulator MgrB [WILDTYPE]	core	AMR	POINT	COLISTIN	COLISTIN	EXACTX	47	47	100.00	100.00	47	WP_002911375.1	PhoP/PhoQ regulator MgrB	NA	NA
NA	11	83253	83393	-	mgrB_I45I	PhoP/PhoQ regulator MgrB [WILDTYPE]	core	AMR	POINT	COLISTIN	COLISTIN	EXACTX	47	47	100.00	100.00	47	WP_002911375.1	PhoP/PhoQ regulator MgrB	NA	NA
NA	11	83253	83393	-	mgrB_L24L	PhoP/PhoQ regulator MgrB [WILDTYPE]	core	AMR	POINT	COLISTIN	COLISTIN	EXACTX	47	47	100.00	100.00	47	WP_002911375.1	PhoP/PhoQ regulator MgrB	NA	NA
NA	11	83253	83393	-	mgrB_M1V	PhoP/PhoQ regulator MgrB [UNKNOWN]	core	AMR	POINT	NA	NA	EXACTX	47	47	100.00	100.00	47	WP_002911375.1	PhoP/PhoQ regulator MgrB	NA	NA
